Variant,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
Estimates,1950,13505,11389,10029,9513,9134,8818,8568,8374,8231,8129,8069,8048,8001,7868,7686,7528,7394,7245,7094,6944,6790,6635,6480,6325,6169,6014,5859,5711,5579,5454,5330,5207,5083,4947,4808,4671,4532,4405,4305,4216,4124,4036,3929,3767,3575,3392,3207,3052,2971,2932,2888,2845,2768,2596,2370,2160,1953,1789,1735,1741,1736,1731,1688,1539,1337,1156,983,839,773,764,754,733,705,648,567,494,434,375,326,284,243,203,168,139,113,91,72,55,42,32,23,16,13,10,6,4,4,3,2,1,0
Estimates,1951,13861,12231,10824,9774,9363,9037,8754,8524,8341,8203,8104,8043,8021,7972,7836,7652,7492,7356,7207,7056,6905,6751,6595,6439,6282,6126,5971,5816,5669,5537,5413,5289,5165,5040,4904,4764,4627,4488,4360,4260,4171,4078,3990,3883,3721,3530,3347,3162,3007,2925,2885,2839,2794,2715,2544,2320,2111,1906,1743,1687,1688,1679,1671,1625,1477,1279,1102,933,794,728,716,703,679,649,591,514,444,386,330,284,244,207,170,139,113,91,72,55,42,31,23,16,11,9,6,4,3,2,2,1,1
Estimates,1952,14234,12570,11635,10553,9620,9262,8970,8708,8489,8312,8176,8078,8016,7992,7939,7801,7614,7454,7317,7167,7015,6863,6707,6551,6394,6237,6081,5926,5772,5626,5494,5370,5245,5121,4995,4859,4718,4581,4442,4314,4213,4124,4031,3943,3836,3674,3483,3301,3116,2961,2877,2835,2787,2740,2660,2489,2266,2059,1856,1694,1636,1633,1620,1608,1559,1412,1219,1046,883,748,682,667,651,625,593,536,461,394,339,287,244,208,173,141,113,90,71,55,42,31,22,16,11,7,6,4,2,2,1,1,1
Estimates,1953,14617,12930,11970,11348,10387,9516,9192,8922,8672,8459,8285,8150,8050,7986,7958,7901,7760,7572,7410,7272,7121,6968,6814,6657,6500,6343,6186,6030,5876,5723,5578,5446,5322,5196,5072,4946,4809,4669,4531,4393,4265,4164,4075,3981,3893,3786,3624,3433,3251,3067,2912,2827,2783,2733,2684,2602,2432,2211,2005,1804,1642,1582,1576,1559,1542,1491,1346,1158,990,831,701,636,618,599,571,537,481,410,347,296,247,208,174,143,115,91,71,55,42,31,22,16,11,7,5,4,2,1,1,1,1
Estimates,1954,14993,13303,12328,11683,11174,10278,9446,9144,8886,8642,8432,8259,8122,8020,7952,7920,7859,7716,7526,7363,7223,7071,6916,6761,6604,6445,6289,6132,5978,5825,5673,5528,5396,5272,5146,5021,4895,4758,4618,4481,4342,4215,4115,4025,3931,3843,3734,3573,3382,3201,3017,2861,2776,2729,2678,2626,2543,2373,2153,1949,1750,1590,1528,1518,1497,1476,1422,1280,1096,933,780,654,590,570,548,518,483,428,362,303,255,211,174,144,117,92,71,55,42,31,22,16,11,7,5,3,2,1,1,0,1
Estimates,1955,15331,13674,12703,12042,11510,11061,10206,9399,9109,8856,8615,8406,8232,8093,7987,7915,7879,7816,7671,7480,7315,7174,7020,6864,6708,6550,6392,6236,6081,5927,5775,5624,5479,5347,5222,5096,4971,4844,4708,4567,4431,4293,4166,4065,3976,3881,3792,3683,3521,3331,3149,2966,2810,2723,2675,2621,2568,2483,2313,2095,1892,1695,1536,1472,1458,1434,1410,1353,1213,1035,877,729,608,545,522,498,466,431,378,316,262,217,177,145,118,94,73,55,42,31,22,16,11,7,5,3,2,1,1,0,1
Estimates,1956,15625,14007,13073,12415,11868,11396,10985,10155,9363,9079,8830,8590,8380,8203,8060,7950,7875,7836,7771,7624,7432,7266,7123,6968,6811,6655,6497,6339,6184,6030,5877,5726,5574,5429,5297,5172,5045,4920,4794,4657,4517,4381,4243,4117,4016,3926,3831,3740,3630,3468,3278,3097,2913,2758,2670,2620,2564,2507,2420,2250,2034,1833,1638,1481,1415,1397,1370,1342,1283,1146,973,820,678,561,499,474,449,416,380,330,273,223,183,147,118,95,74,56,42,31,22,16,11,7,5,3,2,1,1,0,1
Estimates,1957,15910,14300,13407,12783,12238,11750,11316,10930,10116,9333,9052,8804,8563,8350,8170,8024,7910,7832,7791,7724,7576,7382,7215,7070,6914,6757,6601,6443,6287,6133,5980,5827,5676,5524,5379,5247,5121,4994,4869,4743,4607,4467,4331,4194,4067,3966,3875,3779,3687,3576,3413,3224,3042,2859,2704,2614,2562,2503,2444,2355,2185,1971,1772,1579,1423,1356,1334,1304,1272,1211,1077,909,762,626,514,454,427,400,367,332,286,233,188,152,120,95,75,57,43,31,22,16,11,7,5,3,2,1,1,0,1
Estimates,1958,16170,14585,13702,13115,12603,12116,11668,11259,10887,10083,9305,9025,8776,8533,8316,8132,7982,7866,7785,7741,7672,7522,7327,7158,7012,6855,6698,6543,6387,6232,6079,5926,5774,5623,5471,5326,5194,5068,4942,4817,4690,4555,4415,4280,4143,4016,3914,3822,3725,3631,3519,3356,3167,2986,2803,2647,2556,2501,2440,2378,2287,2117,1905,1708,1518,1363,1295,1270,1236,1201,1138,1006,845,703,573,467,408,381,354,321,287,244,196,156,124,97,75,58,44,32,23,16,11,7,5,3,2,1,1,0,1
Estimates,1959,16406,14850,13992,13412,12934,12479,12032,11609,11215,10852,10054,9278,8998,8746,8499,8280,8092,7939,7821,7738,7691,7620,7468,7272,7102,6956,6799,6643,6489,6334,6180,6027,5875,5723,5572,5420,5275,5142,5016,4890,4765,4639,4504,4365,4229,4092,3965,3862,3768,3670,3575,3461,3298,3108,2927,2745,2589,2496,2438,2374,2310,2216,2046,1836,1641,1454,1302,1232,1204,1167,1128,1064,935,780,644,521,421,364,337,309,278,245,206,163,128,100,77,58,44,32,23,16,11,7,5,3,2,1,1,0,0
Estimates,1960,16699,15094,14264,13706,13233,12812,12395,11973,11566,11181,10822,10026,9251,8969,8714,8465,8243,8054,7900,7780,7696,7648,7575,7422,7225,7054,6908,6752,6596,6443,6288,6134,5981,5829,5676,5525,5372,5227,5094,4968,4841,4717,4590,4455,4316,4180,4042,3914,3810,3714,3614,3518,3403,3239,3049,2868,2686,2529,2435,2373,2306,2239,2143,1973,1765,1573,1389,1239,1168,1137,1097,1055,989,863,715,586,469,376,322,295,267,237,207,171,134,103,79,60,44,33,24,16,11,7,5,3,2,1,1,0,0
Estimates,1961,17042,15385,14511,13979,13527,13110,12727,12336,11930,11531,11150,10792,9998,9222,8937,8680,8429,8206,8016,7862,7741,7656,7606,7531,7377,7179,7009,6863,6707,6552,6399,6244,6090,5936,5783,5630,5478,5325,5179,5046,4920,4793,4668,4542,4406,4266,4130,3991,3862,3756,3659,3557,3459,3342,3178,2988,2807,2625,2468,2371,2306,2236,2165,2067,1898,1693,1504,1323,1176,1104,1069,1026,981,914,792,650,528,419,332,282,255,229,200,173,140,108,82,62,45,33,24,17,11,7,5,3,2,1,1,0,0
Estimates,1962,17382,15720,14802,14228,13801,13405,13026,12668,12292,11894,11499,11120,10762,9966,9189,8901,8643,8391,8168,7978,7823,7701,7614,7562,7485,7331,7133,6963,6818,6663,6508,6354,6199,6044,5890,5736,5583,5430,5277,5131,4997,4871,4744,4619,4492,4356,4216,4078,3938,3808,3701,3602,3498,3398,3281,3115,2926,2744,2562,2404,2305,2237,2164,2089,1989,1821,1619,1433,1256,1112,1039,1001,955,908,839,722,587,473,372,291,245,219,194,167,142,113,86,64,47,34,24,17,12,8,5,3,2,1,1,0,0
Estimates,1963,17732,16052,15135,14519,14051,13680,13321,12967,12623,12255,11862,11468,11088,10727,9930,9151,8862,8603,8350,8127,7937,7781,7658,7569,7515,7437,7282,7086,6916,6771,6616,6462,6308,6152,5996,5842,5687,5533,5380,5227,5081,4947,4821,4694,4568,4440,4304,4163,4024,3884,3752,3643,3543,3438,3336,3217,3051,2861,2679,2497,2338,2236,2166,2089,2012,1910,1743,1544,1362,1189,1048,974,933,885,835,766,653,526,419,326,253,210,185,162,137,115,90,67,49,35,25,17,12,8,5,3,2,1,1,0,0
Estimates,1964,18087,16393,15465,14852,14343,13930,13596,13261,12922,12586,12222,11830,11435,11052,10688,9889,9110,8820,8560,8307,8084,7892,7735,7610,7519,7465,7386,7231,7036,6867,6723,6568,6413,6258,6102,5946,5790,5635,5481,5328,5175,5029,4896,4769,4641,4515,4387,4250,4108,3968,3827,3694,3584,3482,3375,3272,3151,2984,2794,2612,2429,2270,2166,2092,2013,1933,1829,1664,1469,1290,1121,983,909,865,815,762,693,585,468,369,284,217,178,155,133,111,91,70,51,36,26,17,12,8,5,3,2,1,1,0,0
Estimates,1965,18350,16696,15775,15166,14664,14213,13839,13530,13211,12881,12549,12187,11793,11396,11010,10642,9843,9066,8775,8515,8262,8037,7844,7686,7560,7468,7412,7333,7179,6985,6817,6672,6517,6361,6206,6050,5893,5737,5582,5428,5275,5122,4976,4842,4715,4587,4460,4331,4193,4050,3909,3767,3633,3521,3418,3309,3204,3081,2913,2723,2540,2356,2197,2091,2015,1932,1850,1744,1581,1390,1215,1051,916,842,795,743,689,621,519,410,320,243,184,148,127,107,88,71,54,38,26,18,12,8,5,3,2,1,1,0,0
Estimates,1966,18549,16915,16051,15461,14966,14523,14113,13767,13474,13165,12839,12510,12147,11751,11351,10962,10592,9794,9018,8727,8466,8212,7986,7792,7632,7505,7413,7357,7278,7125,6931,6764,6619,6463,6307,6152,5994,5837,5682,5526,5372,5219,5066,4920,4786,4659,4530,4402,4272,4132,3988,3846,3703,3568,3454,3349,3238,3130,3005,2836,2645,2462,2279,2119,2011,1932,1847,1762,1655,1494,1307,1137,977,846,772,724,670,616,549,455,355,274,205,153,122,102,85,69,54,40,28,19,12,8,5,3,2,1,1,0,0
Estimates,1967,18802,17120,16275,15735,15257,14821,14419,14037,13709,13427,13124,12800,12470,12105,11706,11303,10912,10540,9743,8968,8676,8414,8159,7932,7737,7577,7450,7358,7302,7223,7071,6877,6710,6565,6409,6252,6096,5939,5782,5626,5471,5316,5163,5011,4864,4730,4601,4471,4342,4210,4069,3924,3781,3636,3500,3384,3276,3163,3053,2925,2755,2563,2380,2197,2037,1927,1845,1758,1670,1562,1403,1222,1056,902,775,701,652,598,544,480,393,304,231,171,125,98,81,66,52,40,29,20,13,8,5,3,2,1,1,0,0
Estimates,1968,19115,17418,16516,15973,15536,15114,14717,14344,13981,13664,13389,13087,12763,12431,12063,11661,11255,10862,10489,9693,8919,8626,8362,8107,7879,7684,7524,7397,7305,7249,7171,7019,6825,6657,6512,6355,6199,6043,5885,5728,5572,5417,5263,5109,4956,4809,4674,4544,4412,4281,4148,4005,3858,3714,3568,3430,3312,3201,3085,2972,2842,2670,2478,2294,2112,1951,1840,1755,1666,1577,1468,1312,1135,975,826,705,632,582,528,476,416,336,256,192,140,101,78,63,50,39,29,21,13,9,5,3,2,1,1,0,0
