Variant,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
Estimates,1950,2438,2574,2511,2120,1723,1795,1951,1985,1997,1935,1760,1681,1747,1815,1817,1776,1759,1759,1743,1698,1653,1619,1590,1561,1506,1415,1318,1242,1185,1174,1110,1026,1023,1043,1047,1048,1043,1028,1012,985,969,950,925,865,813,804,805,817,809,777,730,703,686,656,631,604,571,552,529,509,514,502,472,428,395,385,372,357,335,309,284,260,238,217,196,177,158,140,123,107,92,78,65,54,44,35,27,21,16,12,8,6,4,3,2,1,1,0,0,0,0
Estimates,1951,2147,2363,2533,2498,2122,1717,1777,1934,1968,1996,1932,1766,1680,1743,1807,1809,1774,1756,1754,1732,1693,1647,1611,1578,1546,1496,1409,1318,1247,1192,1165,1100,1019,1017,1038,1045,1044,1035,1021,1006,981,964,945,920,860,808,798,798,809,801,772,726,697,678,647,623,599,564,545,520,499,502,490,459,416,382,372,359,343,321,294,269,246,223,203,183,163,144,127,110,95,80,67,55,45,36,28,22,17,12,9,6,4,3,2,1,1,0,0,0,0
Estimates,1952,1986,2088,2330,2522,2501,2117,1703,1763,1918,1968,1993,1939,1765,1676,1736,1800,1808,1772,1752,1744,1727,1687,1640,1600,1564,1537,1492,1411,1324,1256,1183,1154,1094,1014,1012,1036,1042,1038,1028,1015,1003,976,960,941,915,855,803,791,791,802,796,768,720,690,670,639,618,592,558,536,510,488,491,478,447,403,370,359,346,329,307,280,255,232,210,189,169,150,131,114,98,83,69,57,46,37,29,23,17,13,10,7,5,3,2,1,1,0,0,0,0
Estimates,1953,1860,1938,2063,2321,2524,2496,2102,1691,1748,1918,1965,2000,1939,1762,1669,1729,1799,1806,1769,1742,1739,1722,1681,1630,1587,1556,1534,1494,1418,1334,1247,1173,1148,1089,1010,1011,1034,1036,1031,1024,1013,998,973,955,936,911,850,796,784,784,797,792,762,713,681,662,634,611,585,548,526,499,477,478,465,433,390,358,346,332,314,291,265,240,217,196,175,155,136,117,101,85,71,59,48,38,30,24,18,13,10,7,5,3,2,1,1,1,0,0,0
Estimates,1954,1754,1818,1917,2056,2323,2520,2480,2090,1679,1748,1914,1971,1999,1936,1755,1663,1728,1798,1803,1759,1737,1733,1715,1670,1616,1578,1552,1536,1502,1429,1325,1236,1167,1143,1085,1010,1010,1029,1030,1026,1021,1008,995,969,950,931,905,843,790,778,779,793,786,755,704,673,656,627,604,576,539,515,489,466,466,451,420,377,345,332,317,299,276,249,226,203,182,161,141,122,104,88,74,61,50,40,31,24,19,14,10,7,5,4,2,2,1,1,0,0,0
Estimates,1955,1699,1719,1801,1912,2058,2320,2504,2465,2076,1679,1744,1919,1969,1996,1928,1749,1662,1726,1794,1792,1753,1731,1726,1703,1656,1607,1574,1553,1544,1513,1419,1314,1230,1162,1139,1085,1009,1004,1022,1025,1024,1017,1005,991,963,945,925,898,837,784,773,775,787,779,746,696,668,649,620,595,566,528,505,477,454,453,438,407,364,332,319,302,284,261,235,212,189,168,147,127,109,92,77,63,52,42,33,25,19,15,11,8,6,4,3,2,1,1,0,0,0
Estimates,1956,1653,1668,1705,1798,1914,2056,2306,2489,2449,2078,1676,1748,1918,1966,1988,1922,1748,1661,1722,1783,1786,1747,1724,1714,1689,1646,1603,1576,1562,1556,1503,1406,1307,1225,1158,1139,1084,1003,998,1018,1023,1019,1014,1001,985,958,939,918,891,830,779,769,769,779,769,737,691,661,642,610,584,555,517,492,465,441,439,425,394,350,318,303,287,268,245,220,196,174,153,132,113,96,80,66,54,43,35,27,20,15,11,8,6,4,3,2,1,1,0,0,0
Estimates,1957,1576,1623,1655,1703,1800,1913,2044,2292,2475,2453,2074,1679,1746,1914,1958,1981,1920,1746,1656,1712,1777,1780,1739,1712,1699,1679,1642,1605,1584,1574,1544,1488,1399,1301,1220,1158,1138,1078,998,994,1016,1019,1016,1009,995,980,952,932,911,884,825,775,763,761,769,759,731,683,653,632,600,573,543,504,480,451,428,426,410,378,335,302,287,270,251,228,203,179,158,137,117,98,82,68,55,44,35,27,21,16,11,8,6,4,3,2,1,1,0,0,0
Estimates,1958,1574,1550,1611,1653,1704,1800,1902,2031,2279,2480,2447,2077,1678,1744,1906,1951,1981,1919,1741,1646,1706,1772,1773,1727,1696,1689,1675,1645,1614,1598,1562,1528,1480,1393,1297,1221,1157,1133,1072,994,992,1011,1016,1012,1003,990,973,944,925,904,879,821,769,756,752,760,754,723,676,643,621,588,561,530,491,466,438,415,411,394,362,318,286,270,253,234,210,185,163,141,121,102,85,70,57,46,36,28,22,16,12,9,6,4,3,2,1,1,0,0,0
Estimates,1959,1607,1551,1539,1609,1654,1706,1791,1892,2020,2285,2473,2451,2077,1676,1736,1901,1952,1980,1913,1730,1641,1702,1766,1762,1712,1687,1686,1679,1655,1629,1585,1545,1520,1474,1388,1297,1221,1152,1127,1068,991,988,1009,1012,1007,998,983,965,938,919,899,874,815,762,746,743,754,745,716,665,632,609,577,549,517,478,453,426,402,397,379,345,302,270,254,237,217,194,169,147,126,107,89,73,60,48,38,29,23,17,13,9,7,5,3,2,1,1,0,0,0
