Variant,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
Estimates,1950,1439,1255,1202,1160,1113,1069,1028,992,959,931,907,886,865,840,815,792,771,750,729,709,689,670,652,634,616,599,582,566,549,533,517,502,486,469,451,435,418,403,390,378,366,355,344,332,320,309,298,289,282,277,273,268,262,253,242,232,222,212,201,191,180,169,158,148,138,128,118,109,100,91,83,74,66,59,52,45,38,32,27,23,19,15,12,9,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Estimates,1951,1506,1284,1171,1147,1123,1088,1051,1015,982,951,924,901,881,860,835,810,787,766,745,724,704,684,665,646,629,611,594,577,561,544,528,512,497,481,464,447,430,414,398,385,373,362,350,339,328,316,305,293,284,277,272,268,262,256,247,237,226,217,206,195,185,174,163,152,142,132,122,112,103,94,85,76,68,61,53,46,40,34,28,23,19,15,12,9,7,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Estimates,1952,1535,1346,1200,1117,1110,1097,1069,1038,1005,973,944,918,895,875,854,830,805,782,761,740,719,699,679,659,641,623,606,589,572,556,539,523,507,491,476,459,441,425,408,393,380,368,357,345,334,323,311,300,289,279,272,267,262,257,251,242,231,221,211,200,189,178,167,156,146,135,125,115,106,96,87,78,70,62,55,48,41,35,29,24,20,16,13,10,7,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0
Estimates,1953,1565,1373,1258,1145,1082,1085,1079,1056,1027,996,966,938,912,890,870,849,825,800,776,755,734,713,692,672,653,635,617,600,583,566,550,533,517,501,486,470,453,436,419,403,388,375,363,351,340,329,318,306,295,284,274,267,262,257,251,245,236,225,215,204,194,183,172,161,150,139,129,119,109,99,90,81,72,64,56,49,42,36,30,25,21,17,13,10,8,6,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0
Estimates,1954,1598,1402,1285,1202,1109,1057,1067,1065,1045,1018,989,960,932,907,884,864,843,819,793,770,749,727,706,685,665,646,628,610,593,576,560,543,527,511,495,480,464,447,430,414,397,382,369,358,346,335,324,312,301,290,279,269,262,257,251,246,239,230,219,208,198,187,176,165,154,143,132,122,112,102,92,83,74,66,58,50,44,37,31,26,21,17,14,11,8,6,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0
Estimates,1955,1631,1433,1313,1228,1164,1084,1040,1053,1054,1036,1011,982,954,926,901,879,859,838,813,787,763,742,720,699,679,659,640,621,604,587,570,554,537,521,505,489,474,458,441,424,408,392,377,364,352,341,330,319,307,295,284,273,264,256,251,246,240,233,223,212,202,191,180,169,158,147,136,125,115,105,95,85,76,68,59,52,45,38,32,27,22,18,14,11,8,6,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0
Estimates,1956,1667,1464,1343,1256,1190,1138,1066,1026,1043,1045,1028,1004,976,948,920,895,873,853,831,807,780,757,735,713,692,672,652,633,615,597,580,564,547,531,515,499,483,468,452,435,419,402,386,371,358,347,335,324,313,302,290,279,268,258,251,245,240,233,226,217,206,195,184,173,162,151,140,129,118,108,98,88,78,70,61,53,46,39,33,28,23,19,15,11,9,7,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0
Estimates,1957,1703,1497,1374,1285,1217,1163,1119,1053,1016,1034,1038,1021,997,970,942,914,889,867,846,825,800,773,749,728,706,685,665,645,626,608,591,574,557,541,525,509,493,477,462,446,429,413,396,380,366,353,341,330,319,308,296,285,273,262,252,245,239,233,227,220,210,199,188,177,166,155,144,133,122,111,100,91,81,72,63,55,47,41,34,29,24,19,15,12,9,7,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0
Estimates,1958,1739,1531,1405,1314,1245,1190,1144,1105,1042,1007,1026,1031,1015,991,964,936,908,883,860,839,817,792,765,741,720,698,677,657,637,619,601,584,567,550,534,518,502,486,470,455,440,423,406,390,375,360,347,335,324,313,302,291,279,268,256,247,239,233,227,220,213,203,192,181,170,159,147,136,125,114,103,93,83,74,65,56,49,42,35,30,24,20,16,12,9,7,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0
Estimates,1959,1775,1565,1438,1345,1274,1218,1170,1130,1094,1033,1000,1019,1024,1009,985,958,929,902,876,853,831,809,784,758,733,712,690,670,650,630,612,594,577,560,544,527,511,495,479,464,449,433,417,400,384,369,354,341,330,318,307,297,285,273,262,251,241,233,227,220,213,206,196,184,173,162,151,140,128,117,106,96,86,76,67,58,50,43,36,30,25,20,16,13,10,7,5,4,3,2,1,1,1,0,0,0,0,0,0,0,0
