Variant,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
Estimates,1950,3106,3246,3467,3370,2922,2636,2720,2740,2551,2359,2302,2240,2195,2138,2111,2061,2045,2057,2053,2114,2143,2188,2200,2288,2315,2344,2418,2447,2349,2384,2354,2283,2221,2251,2251,2232,2243,2226,2199,2145,2086,2055,2015,1965,1918,1883,1821,1789,1765,1697,1691,1673,1631,1579,1544,1510,1465,1424,1397,1354,1281,1236,1198,1156,1112,1078,1043,1001,934,873,804,734,664,613,561,515,466,419,377,335,307,262,223,189,156,125,100,81,66,54,41,30,21,15,11,8,5,3,2,2,4
Estimates,1951,3523,2991,3160,3441,3373,2952,2633,2706,2753,2547,2333,2301,2237,2198,2132,2149,2029,2026,2086,2090,2167,2192,2280,2209,2315,2342,2295,2367,2541,2324,2346,2354,2321,2177,2217,2252,2212,2231,2220,2207,2172,2075,2042,2002,1953,1891,1877,1793,1745,1784,1672,1660,1658,1637,1573,1522,1495,1444,1373,1348,1313,1255,1227,1186,1135,1098,1070,1037,967,905,832,761,683,630,576,534,485,435,392,349,316,277,234,196,165,134,106,83,67,54,43,32,23,16,11,8,5,4,2,2,4
Estimates,1952,3638,3389,2872,3121,3444,3407,2943,2614,2711,2745,2514,2332,2297,2235,2194,2164,2129,2020,2066,2113,2125,2198,2274,2295,2246,2357,2315,2254,2453,2515,2291,2350,2387,2282,2145,2212,2228,2199,2212,2221,2230,2163,2059,2031,1993,1928,1888,1855,1756,1764,1760,1641,1645,1662,1630,1553,1507,1476,1398,1324,1304,1288,1250,1216,1164,1120,1089,1061,998,936,861,789,709,651,593,549,503,454,408,363,326,285,248,206,171,142,114,89,69,55,43,34,25,17,12,8,6,4,3,2,4
Estimates,1953,3426,3754,3511,2903,3116,3396,3409,2966,2598,2716,2790,2515,2334,2290,2246,2147,2175,2136,1968,2029,2058,2100,2143,2318,2315,2258,2435,2375,2152,2470,2549,2292,2302,2433,2315,2136,2232,2241,2186,2193,2186,2223,2152,2053,2026,1998,1907,1889,1872,1704,1751,1757,1622,1602,1630,1614,1528,1487,1486,1396,1281,1281,1281,1236,1193,1149,1109,1077,1024,969,891,817,740,677,612,564,517,472,425,378,337,294,255,219,181,148,121,96,74,57,44,34,27,19,13,9,6,4,3,2,3
Estimates,1954,3556,3515,3845,3532,2903,3084,3396,3432,2948,2601,2753,2791,2517,2324,2303,2207,2150,2181,2086,1930,1989,2056,2088,2214,2363,2345,2334,2485,2296,2160,2497,2557,2256,2346,2464,2308,2156,2250,2220,2170,2172,2183,2208,2148,2052,2028,1981,1906,1902,1829,1688,1744,1739,1587,1575,1618,1592,1512,1495,1473,1353,1261,1274,1263,1212,1178,1137,1094,1042,997,924,847,770,708,638,582,531,486,441,395,348,305,264,227,193,157,126,102,80,61,46,35,27,20,15,10,6,4,3,2,3
Estimates,1955,3650,3639,3597,3862,3535,2878,3083,3420,3408,2950,2637,2756,2795,2504,2343,2265,2204,2157,2122,2047,1905,2008,2069,2176,2268,2394,2421,2381,2412,2297,2187,2514,2525,2304,2379,2454,2328,2180,2219,2205,2158,2171,2164,2207,2150,2053,2013,1979,1919,1862,1808,1678,1727,1706,1564,1568,1599,1578,1521,1476,1430,1333,1252,1253,1239,1197,1165,1120,1062,1019,952,878,802,739,667,605,547,500,454,410,367,316,274,235,199,168,134,107,85,66,49,36,28,21,15,11,7,5,3,2,3
Estimates,1956,3757,3720,3704,3609,3870,3520,2876,3108,3395,3408,2984,2641,2761,2778,2528,2308,2256,2212,2097,2091,2038,1929,2019,2140,2211,2282,2459,2462,2322,2408,2322,2210,2485,2568,2333,2365,2472,2354,2139,2204,2202,2159,2148,2164,2211,2148,2040,2010,1990,1884,1837,1794,1662,1699,1684,1559,1552,1588,1587,1494,1433,1409,1320,1229,1229,1223,1182,1145,1090,1041,971,904,836,771,696,631,568,515,465,421,381,333,283,243,206,172,144,113,89,70,53,39,29,21,16,11,8,5,3,2,4
Estimates,1957,3869,3809,3765,3710,3621,3864,3516,2901,3081,3393,3442,2990,2646,2741,2807,2495,2293,2264,2160,2075,2090,2056,1931,2069,2155,2213,2340,2496,2417,2313,2429,2348,2185,2524,2592,2315,2381,2501,2304,2124,2209,2204,2131,2148,2171,2206,2136,2035,2017,1960,1854,1818,1778,1639,1680,1681,1546,1545,1597,1552,1451,1413,1392,1291,1205,1214,1206,1158,1116,1070,991,922,864,803,726,657,592,535,478,430,385,345,299,251,213,178,147,121,94,73,56,42,31,22,16,11,8,6,3,2,4
Estimates,1958,3939,3915,3845,3774,3734,3632,3865,3547,2878,3085,3431,3456,3001,2630,2779,2781,2477,2305,2230,2147,2083,2113,2066,1983,2085,2161,2272,2377,2467,2406,2334,2462,2330,2225,2549,2576,2336,2420,2446,2295,2143,2216,2175,2136,2161,2166,2199,2133,2042,1996,1928,1833,1804,1760,1626,1682,1671,1544,1557,1557,1510,1433,1395,1359,1266,1192,1197,1179,1133,1100,1021,942,886,832,758,683,616,559,496,442,389,349,310,265,220,184,152,124,101,77,58,44,33,23,16,12,8,6,4,2,4
Estimates,1959,3969,3973,3931,3848,3807,3756,3627,3899,3514,2881,3124,3447,3468,2974,2679,2753,2750,2492,2283,2203,2156,2108,2131,2120,1994,2092,2222,2307,2355,2446,2423,2372,2446,2371,2251,2530,2598,2382,2350,2437,2323,2152,2180,2182,2153,2154,2163,2193,2136,2024,1956,1901,1821,1792,1751,1636,1677,1671,1557,1507,1514,1491,1412,1359,1333,1254,1176,1170,1158,1121,1051,971,909,854,785,712,641,583,517,458,401,352,314,276,233,190,158,128,103,82,62,46,35,25,17,12,8,6,4,3,4
